stone,link,description
agate,https://beadage.net/gemstones/agate/,"Agates are earth stones. Overall, agates are gentle, nourishing, and strengthening, with a lower intensity than many other gemstones. Individual types of agate have their own personal healing properties."
alexandrite,https://beadage.net/gemstones/alexandrite/,"Rather than just bring you joy, Alexandrite helps you develop your own source of joy within yourself. It facilitates an awareness of the beauty of every moment, and your power to choose and make the most of your life. It provides hope by means of awareness of the possibilities that are always available to you, no matter your circumstances."
amazonite,https://beadage.net/gemstones/amazonite/,"Amazonite helps to harmonize apparently different motivations and interests by bringing the truth to light without emotionality, and allowing one to see another point of view. It facilitates this process both between people, and within an individual psyche. Therefore it is good for meditation and inner work to clarify inner conflicts and confusion and integrate the self."
amber,https://beadage.net/gemstones/amber/,"Amber carries the energy of the sun, warmth, and wellbeing. It is nurturing and good for people recovering from illness or who are needing comfort. It can transmute negative or stagnate energies into positive energy like a sunny day lifts the spirits. In this way it can be protective, letting you carry around a bubble of sunshine wherever you go."
amethyst,https://beadage.net/gemstones/amethyst/,"Amethyst is a powerhouse stone. It vibrates at a high frequency, creating a bubble of spiritual protection against negative energy. It awakens higher consciousness, assists in wise decision-making free of emotional confusion, and facilitates meditation and intuition."
ametrine,https://beadage.net/gemstones/ametrine/,"Ametrine combines the healing properties of Amethyst and Citrine, two of the most powerful healing crystals you can work with. Ametrine helps you find clarity, make decisions, and move forward powerfully in alignment with your spiritual path."
angel aura quartz,https://beadage.net/gemstones/angel-aura-quartz/,"Angel Aura Quartz is an enhanced version of clear quartz. It has a light, sweet energy that elevates your mood and brings a sense of peace and tranquility."
angelite,https://beadage.net/gemstones/angelite/,"Angelite helps with communication with your angels and Spirit guides. It radiates serenity, helping you to shift into a peaceful state of mind."
apache tears,https://beadage.net/gemstones/apache-tears/,"Apache Tears are helpful for surfacing grief held in the emotional body in order to cleanse and heal old trauma or wounds from a previous life. They also have the protective and cleansing properties of obsidian, in an easy to carry form."
apatite,https://beadage.net/gemstones/apatite/,Green apatite helps sooth the nervous system and maintain inner balance. Blue apatite enhances psychic awareness and opens the mind to insight and inspiration.
aquamarine,https://beadage.net/gemstones/aquamarine/,"Aquamarine cools anger and helps create a calm, centered, relaxed but alert state with balanced energy. It is a stone of the Divine Feminine–teaching a form of power that is yielding and yet resilient, and letting you speak your truth clearly from a place of inner knowing rather than reactivity."
aragonite,https://beadage.net/gemstones/aragonite/,"Aragonite bolsters the strength of your emotional core, helping you confront painful feelings and embrace past wounds. This clears the way for lasting positive emotional states. Because it acts to balance the energy system and chakras, it is both calming and energizing."
