stone,physical_description
agates,"Agate is an umbrella name for a number of varieties of banded chalcedony. Agate crystals occurs in many colors that range from translucent to opaque. Agates are found all over the world. Some agates are geodes, which means they are hollow in the middle, often with crystals inside. Agate is considered a semi-precious gemstone.
Agates grow in many different types of rock, and through many different processes. As such, their hardness can vary greatly, but is generally somewhere between a six and an eight on the Mohs scale. Agate is a member of the quartz family of gemstones, and often you will find agates with bands of quartz and chalcedony layered through it. Agates are found all over the world. Africa, Asia, Brazil, Egypt, Germany, England, India, Italy, Mexico, Nepal, Canada, and the United States all have varieties of Agates that are found there. Agates are most often found round instead of any other shape.
Agates have been used by humans dating back to the Neolithic period, and were used by early Egyptians and in ancient India.
Agates are for the most part quite durable stones. They can be dyed different colors, sliced exceptionally thin, and aside from doing a real number on your blades because they’re so hard, are quite nice to work with in jewelry. Agates provide unlimited options to work with because of the sheer number of types of agates there are in the world. Pricewise, some agates (like the Fire Agate for example) can end up being quite pricey for a good quality piece; but for the most part agates are very affordable stones, and great for beginners.
"
alexandrite,"Alexandrite is a member of the chrysoberyl family of stone, some of the rarest stones on earth. (Despite the similar name, they are not related to the beryl family which includes emerald, aquamarine, and morganite). It sits at a 8.5 on the Moh’s scale, making it one of the hardest gemstones.
Alexandrite has an optical property called pleochroism which means that it appears to change color when viewed at different angles. In addition to being pleochroic, it also changes color based on the ambient light source. Under incandescent lighting it will appear purplish-red, but in daylight it will appear bluish-green. This effect is due to the way it absorbs yellow light while transmitting blue and red light.
Alexandrite was discovered in Russia in the 1830s, and named such to honor the Russian Tsar Alexander II. Originally, alexandrite was thought to only be found in Russia, but a Brazilian deposit was discovered in the late 1980s and others soon followed. Today, small deposits of alexandrite are found in Russia, Brazil, Zimbabwe, Madagascar, Burma, India, and Sri Lanka; although they are still quite rare, especially for high quality.
Alexandrite is often listed as the birthstone for the month of June, but because of its rarity, pearls are also listed.
Alexandrite is available only from reputable dealers, and it comes at a price. This stone is not for amateurs, and even pieces of lower quality the size of diamond points (.015cts) are expensive. If you are offered it at an exceptionally low price…it’s probably not alexandrite.
"
amazonite,"Amazonite is a brilliant green to bluish-green variety of feldspar. It is sometimes called “Amazon Stone”, and was named after the Amazon River. However, the original green stones found near the Amazon were probably not actually Amazonite. The biggest deposits are in Russia, but it has also been found in the USA, Brazil, and Madagascar. Amazonite is a 6 on the Mohs scale.
Amazonite is usually found in cabochon form, and is almost never faceted because it is easily fractured. While often used in jewelry, occasionally it can crack. Amazonite has a color rarely seen in the gemstone world, so many jewelers believe it is worth the work. Although amazonite can be hard to find, it is not exceptionally expensive.
"
amber,"Amber is fossilized sap or pitch from trees, and is usually golden brown and translucent. It can contain bits of plant material or insects that were trapped in the sap and became fossilized with it. Amber has been used in jewelry for thousands of years.
"
amethyst,"Amethyst is a purple variety of quartz crystal. Its purple color ranges from light lavender to dark violet and it is usually translucent. Like all quartz, purple amethyst gemstones are a commonly used crystal in metaphysical work. Amethyst is found in many parts of the world. Only a few countries provide darker high-quality gemstones. Other common varieties of quartz include rose quartz and carnelian.
Many stones have fake varieties but there’s no real point to making synthetic amethyst because natural amethyst is common and inexpensive. The only thing you need to look out for is glass that is only purple colored but fancily named amethyst.
Amethyst is a 7 on the Mohs scale of hardness. The only difference between regular clear quartz crystal and amethyst is the color. The purple is caused by iron and aluminum that were present while the stone was forming. Amethyst is always a shade of purple, sometimes very light, other times very dark. Occasionally you will find red dots or red or blue hues in the stone.
Amethyst and citrine are closely related. Citrine is formed when amethyst is exposed to heat when forming. Sometimes people even call citrine “burnt amethyst”. When citrine and amethyst are found together in one piece, it is called ametrine and is very sought after.
Amethyst is the birthstone for February. It also has meaning to the astrological signs Pisces, Aries, Aquarius, and Sagittarius.
Amethyst crystal is produced in Russia, India, Brazil, US, Canada, Australia, and South Korea.
Amethyst jewelry and other uses date back to Neolithic times 25,000 years ago. It has often been associated with royalty, and used in crowns and royal rings. It was once a precious stone, but it is now common enough to be considered semi-precious.
Yes! It is perfectly safe to submerge amethyst crystals in water. Feel free to shower and bathe with your amethyst, or put it in your water bottle to make a crystal elixir.
There are many ways to cleanse, clear, and activate crystals. The most popular ones are to run it under water, submerge it in a clear stream, put it out in the moonlight, put it near a healthy houseplant, set it on a selenite plate, burn sage or palo santo, or use chimes or singing bowls. Whatever makes you feel clear and peaceful will also help your crystals.
Yes, if left in sunlight, amethyst can begin to fade. It won’t become a different color, but it will become more pale.
If heat-treated at very high temperatures, amethyst can turn golden-yellow or green, but that won’t happen at home. 😉
Amethyst is the birthstone for February.
Yes! We have a whole page of Amethyst Engagement Rings.
The word amethyst comes from Greek and means “to not intoxicate”. Amethyst meaning among ancient Greeks and Romans included being used to cure drunkenness. Amethyst has also been used for help with insomnia, grief, and addictions.
Amethyst gemstones are very popular in jewelry. They are hard enough to be durable and are readily available and affordable. Even high-grade material is relatively inexpensive. They are also available in a huge range of sizes and shapes. Amethyst jewelry is beautiful, powerful, and beneficial!
"
ametrine,"Ametrine is a combination of amethyst and citrine, which are both varieties of quartz. Citrine is formed when amethyst is exposed to heat, whether naturally or artificially. Ametrine is thus a stone which has been partially transformed from amethyst to citrine, retaining properties of both.
"
citrine,"Citrine is a beautiful yellow gemstone with a color that ranges from light to dark. High quality citrine is transparent, while lower grade style, like those used in beading, can have an opaque look to it. Citrine is sometimes mistaken for the more expensive yellow topaz.
Citrine sits at a 7 on the Mohs Scale. It is a member of the quartz family along with onyx, carnelian, and amethyst.
Natural citrine is very rare and is found in small amounts in only a few places in the world. Russia, Spain, France, and Hungary are known for natural citrine. Most citrine you see on the market is actually amethyst or smoky quartz that has been heat treated. The heat treatment changes to color of the stone to a shade of yellow. It is difficult to tell natural citrine from heat treated citrine unless you are a gemologist and know what to look for.
There aren’t many yellow gemstones, and there are even fewer that are affordable. Citrine is a wonderful option that offers a wide range of color in the yellow spectrum. When buying any citrine bead or stone, if it isn’t specified, you should assume you are dealing with a heat treated stone.
Natural citrine has always been rare, and this technique of heat treating other quartz stones has been commonplace for many years. In the gemstone business, this is believed to be common knowledge, so heat treating in this particular case is not considered to be enhancing the stone, simply making it available to the general public.
Citrine is the birthstone for November, and the planetary stone for Virgo. Citrine is also the gemstone for the 13th and 17th year of marriage.
"
angel aura quartz,"Angel Aura Quartz is an iridescent gemstone made by heating quartz crystals and then coating them in powdered silver and platinum. The process creates a beautiful rainbow sheen that is permanent.
"
quartz,"Quartz is a crystal consisting of silicon dioxide. Many gemstones are a variety of quartz, such as citrine, agate, amethyst, rose quartz, smokey quartz, as well as all chalcedony varieties such as carnelian, bloodstone, and jasper.
Clear quartz is also called crystal quartz, quartz crystal, or rock crystal. It can be found in natural crystal formations, or tumbled into beads.
"
angelite,"Angelite is the trade name for a variety of blue anhydrite found in Peru. Anhydrite is a soft calcium sulfate mineral, around 3.5 on the Mohs scale of mineral hardness.
"
